ID,Name (EN) ,Name (AR) ,Barcode,Packing,PPT,Origin,Category,Variant,Country
33, GELATIN - LEMON ,حلوى الجيلاتين بنكهة الليمون,617950205661,6 x 12 X 85GM,1.59, KINGDOM OF SAUDI ARABIA ,DESSERT,GELATIN ,UNITED ARAB EMIRATES
34, GELATIN - LIME ,حلوى الجيلاتين بنكهة اللايم,617950205685,6 x 12 X 85GM,1.59, KINGDOM OF SAUDI ARABIA ,DESSERT,GELATIN ,UNITED ARAB EMIRATES
35, GELATIN - RASPBERRY ,حلوى اجيلاتين بنكهة التوت,617950205708,6 x 12 X 85GM,1.59, KINGDOM OF SAUDI ARABIA ,DESSERT,GELATIN ,UNITED ARAB EMIRATES
36, MUHALLABIA MIX ,خليط المهلبيه,617950200185,72 X 96 GM,1.81, KINGDOM OF SAUDI ARABIA ,DESSERT,MUHALLABIA MIX,UNITED ARAB EMIRATES
37, VANILLA POWDER ,فانيلا بودرة,617950156000,10 X 12 X 20 GM,2.59, KINGDOM OF SAUDI ARABIA ,BAKERY AIDS,VANILLA ,UNITED ARAB EMIRATES
38, WHITE OATS ,الشوفان الأبيض,617950115021,24 X 400 GM,5.32, KINGDOM OF SAUDI ARABIA ,OATS,WHITE OATS,UNITED ARAB EMIRATES
39, CHICKEN CUBES ,مكعبات الدجاج,617950192411,12 X 24 X 20 GM,12.75, KINGDOM OF SAUDI ARABIA ,CHICKEN CUBES,CHICKEN CUBES,UNITED ARAB EMIRATES
40, CHICKEN CUBES ,مكعبات الدجاج,617950191247,24X12X20GM,6.58, KINGDOM OF SAUDI ARABIA ,CHICKEN CUBES,CHICKEN CUBES,UNITED ARAB EMIRATES
41, JAM - APRICOT ,مربى المشمش,617950410027,12 X 400 GM,6.00, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
42, JAM - CHERRY ,مربى الكرز,617950410065,12 X 400 GM,6.00, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
43, JAM - MIXED FRUITS ,مربى الفاكهة المشكلة,617950410072,12 X 400 GM,6.00, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
44, JAM - ORANGE ,مربى البرتقال,617950410058,12 X 400 GM,6.00, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
45, JAM - PINEAPPLE  ,مربى الأناناس,617950410010,12 X 400 GM,6.00, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
46, JAM - RASPBERRY ,مربى التوت,617950410041,12 X 400 GM,6.00, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
47, JAM - STRAWBERRY ,مربى الفراولة,617950410034,12 X 400 GM,6.00, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
48, JAM- APRICOT- 800 GM ,مربى المشمش 800 جم,617950410218,6 X 800 GM,10.59, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
49, JAM- CHERRY - 800 GM ,مربى الكرز 800 جم,617950410317,6 X 800 GM,10.59, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
50, JAM- PINEAPPLE - 800 GM ,مربى الأناناس 800 جم,617950410195,6 X 800 GM,10.59, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
51, JAM- RASPBERRY - 800 GM ,مربى التوت 800 جم,617950410270,6 X 800 GM,10.59, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
52, JAM- STRAWBERRY- 800 GM ,مربى الفراولة 800 جم,617950410232,6 X 800 GM,10.59, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
53, JAM - MIXED FRUITS - 800 GM ,مربى الفاكهة المشكلة 800 جم,617950410294,6 X 800 GM,10.59, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
54, PRESERVE - APRICOT ,مربى المشمش بقطع فاكهة أكثر,617950510031,12 X 400 GM,8.49, KINGDOM OF SAUDI ARABIA ,JAM,PRESERVE ,UNITED ARAB EMIRATES
55, PRESERVE - CHERRY ,مربى الكرز بقطع فاكهة أكثر,617950510062,12 X 400 GM,8.49, KINGDOM OF SAUDI ARABIA ,JAM,PRESERVE ,UNITED ARAB EMIRATES
56, PRESERVE - MIXED FRUITS ,مربى الفاكهة المشكلة بقطع فاكهة أكثر,617950510055,12 X 400 GM,8.49, KINGDOM OF SAUDI ARABIA ,JAM,PRESERVE ,UNITED ARAB EMIRATES
57, PRESERVE - PINEAPPLE ,مربى الأناناس بقطع فاكهة أكثر,617950510321,12 X 400 GM,8.49, KINGDOM OF SAUDI ARABIA ,JAM,PRESERVE ,UNITED ARAB EMIRATES
58, PRESERVE - RASPBERRY ,مربى التوت بقطع فاكهة أكثر,617950510017,12 X 400 GM,8.49, KINGDOM OF SAUDI ARABIA ,JAM,PRESERVE ,UNITED ARAB EMIRATES
59, PRESERVE - STRAWBERRY ,مربى الفراولة بقطع فاكهة أكثر,617950510024,12 X 400 GM,8.49, KINGDOM OF SAUDI ARABIA ,JAM,PRESERVE ,UNITED ARAB EMIRATES
60, JAM LIGHT APRICOT ,مربى المشمش لايت,617950510246,12 X 340 GM,7.05, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
61, JAM LIGHT MIXED FRUITS ,مربى الفاكهة المشكلة لايت,617950510307,12 X 340 GM,7.05, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
62, JAM LIGHT RASPBERRY ,مربى التوت لايت,617950510260,12 X 340 GM,7.05, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
63, JAM LIGHT STRAWBERRY ,مربى الفراولة لايت,617950510284,12 X 340 GM,7.05, KINGDOM OF SAUDI ARABIA ,JAM,JAM,UNITED ARAB EMIRATES
64, AA HOT KETCHUP (GLASS) - 340 GM ,طماطم الكاتشب الحار 340 جم,,12 X 340 GM,, KINGDOM OF SAUDI ARABIA ,KETCHUP,KETCHUP GLASS,UNITED ARAB EMIRATES
65, AA KETCHUP (GLASS) - 340 GM ,طماطم كاتشب 340 جم,617950600039,12 X 340 GM,3.50, KINGDOM OF SAUDI ARABIA ,KETCHUP,KETCHUP GLASS,UNITED ARAB EMIRATES
66, AA KETCHUP (GLASS) - 3s' - 340 GM ,طماطم كاتشب 3س - 340 جم ,617950600305,4 X 3 X 340 GM,9.19, KINGDOM OF SAUDI ARABIA ,KETCHUP,KETCHUP GLASS,UNITED ARAB EMIRATES
67, KETCHUP SQUEEZE  -12OZ ,طماطم كاتشب - 12oz,617950600046,12 X 395 GM,5.78, KINGDOM OF SAUDI ARABIA ,KETCHUP,KETCHUP SQUEEZE ,UNITED ARAB EMIRATES
68, KETCHUP SQUEEZE - 20OZ ,طماطم كاتشب - 20oz,617950600053,12 X 585 GM,7.47, KINGDOM OF SAUDI ARABIA ,KETCHUP,KETCHUP SQUEEZE ,UNITED ARAB EMIRATES
69, KETCHUP SQUEEZE - 26OZ ,طماطم كاتشب - 26oz,617950600060,12 X 785 GM,9.51, KINGDOM OF SAUDI ARABIA ,KETCHUP,KETCHUP SQUEEZE ,UNITED ARAB EMIRATES
70, HOT SAUCE ,شطة حارة,617950130888,36 X 88 ML,1.00, KINGDOM OF SAUDI ARABIA ,SAUCES,HOT SAUCE,UNITED ARAB EMIRATES
71, HOT SAUCE ,شطة حارة,617950131762,24 X 176 ML,1.92, KINGDOM OF SAUDI ARABIA ,SAUCES,HOT SAUCE,UNITED ARAB EMIRATES
72, HOT SAUCE ,شطة حارة,617950131601,12 X 473 ML,3.58, KINGDOM OF SAUDI ARABIA ,SAUCES,HOT SAUCE,UNITED ARAB EMIRATES
73, BECHAMEL SAUCE ,صلصة البشاميل,617950600589,4 X 10 X 75 GM,3.60, KINGDOM OF SAUDI ARABIA ,SAUCES,BECHAMEL ,UNITED ARAB EMIRATES
74, PIZZA SAUCE - HOT CHILI ,صلصة البيتزا بالفلفل الحار,617950600565,12 X 320 GM,6.12, KINGDOM OF SAUDI ARABIA ,SAUCES,PIZZA SAUCE ,UNITED ARAB EMIRATES
75, PIZZA SAUCE - OLIVES MUSHROOMS ,صلصة البيتزا بالزيتون والفطر ,617950600541,12 X 320 GM,6.12, KINGDOM OF SAUDI ARABIA ,SAUCES,PIZZA SAUCE ,UNITED ARAB EMIRATES
76, PIZZA SAUCE  ,صلصة البيتزا,617950600220,12 X 320 GM,5.26, KINGDOM OF SAUDI ARABIA ,SAUCES,PIZZA SAUCE ,UNITED ARAB EMIRATES
77, PASTA SAUCE - HOT CHILI ,صلصة المكرونة بالفلفل الحار,617950600527,12 X 320 GM,5.53, KINGDOM OF SAUDI ARABIA ,SAUCES,PASTA SAUCE ,UNITED ARAB EMIRATES
