ID,Name (EN) ,Name (AR) ,Barcode,Packing,PPT,Origin,Category,Variant,Country
149, FANCY MEAT TUNA IN SUNFLOWER OIL ,لحم تونا فاخر بزيت دوار الشمس,617950144953,48 X 170 GM,7.23, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
150, FANCY MEAT TUNA IN CANOLA OIL ,لحم تونا فاخر بزيت الكانولا,617950144915,48 X 170 GM,, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
151, FANCY MEAT TUNA IN SUNFLOWER OIL ,لحم تونا فاخر بزيت دوار الشمس,617950143956,48 X 85 GM,3.96, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
152, FANCY MEAT TUNA IN CANOLA OIL ,لحم تونا فاخر بزيت الكانولا,617950144977,48 X 85 GM,, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
153, FANCY MEAT TUNA IN WATER ,لحم تونا فاخر  بالماء,617950144199,48 X 170 GM,7.23, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
154, FANCY MEAT TUNA IN SPRING WATER ,لحم تونا فاخر  بماء الينابيع,617950144939,48 X 170 GM,, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
155, FANCY MEAT TUNA IN OLIVE OIL ,لحم تونا فاخر بزيت الزيتون,617950143192,48 X 170 GM,7.85, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
156, FANCY MEAT TUNA IN EXTRA VIRGIN OLIVE OIL ,لحم تونا فاخر بزيت زيتون بكر,617950145479,48 X 170 GM,, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
157, FANCY MEAT TUNA IN WATER ,لحم تونا فاخر  بالماء,617950143574,48 X 85 GM,3.96, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
158, FANCY MEAT TUNA IN SPRING WATER ,لحم تونا فاخر  بماء الينابيع,617950144991,48 X 85 GM,, THAILAND ,TUNA,FANCY TUNA,UNITED ARAB EMIRATES
159, YELLOWFIN TUNA IN SUNFLOWER OIL ,لحم تونا يلوفين بزيت دوار الشمس,617950143895,48 X 170 GM,6.00, THAILAND ,TUNA,YELLOWFIN ,UNITED ARAB EMIRATES
160, YELLOWFIN TUNA IN SUNFLOWER OIL ,لحم تونا يلوفين بزيت دوار الشمس,617950143932,48 X 85 GM,3.44, THAILAND ,TUNA,YELLOWFIN ,UNITED ARAB EMIRATES
161, YELLOWFIN TUNA IN WATER ,لحم تونا يلوفين بالماء,617950143918,48 X 170 GM,6.00, THAILAND ,TUNA,YELLOWFIN ,UNITED ARAB EMIRATES
162, YELLOWFIN TUNA IN OLIVE OIL ,لحم تونا يلوفين بزيت الزيتون,617950143994,48 X 170 GM,6.56, THAILAND ,TUNA,YELLOWFIN ,UNITED ARAB EMIRATES
163, YELLOWFIN TUNA IN WATER ,لحم تونا يلوفين بالماء,617950143970,48 X 85 GM,3.44, THAILAND ,TUNA,YELLOWFIN ,UNITED ARAB EMIRATES
164, WHITE MEAT TUNA IN SUNFLOWER OIL ,لحم تونا أبيض بزيت دوار الشمس,617950142959,48 X 170 GM,7.23, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
165, WHITE MEAT TUNA IN CANOLA OIL ,لحم تونا أبيض بزيت الكانولا,617950145011,48 X 170 GM,, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
166, WHITE MEAT TUNA IN SUNFLOWER OIL ,لحم تونا أبيض بزيت دوار الشمس,617950142096,48 X 85 GM,3.96, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
167, WHITE MEAT TUNA IN CANOLA OIL ,لحم تونا أبيض بزيت الكانولا,617950145073,48 X 85 GM,, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
168, WHITE MEAT TUNA IN WATER ,لحم تونا أبيض بالماء,617950142195,48 X 170 GM,7.23, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
169, WHITE MEAT TUNA IN SPRING WATER ,لحم تونا أبيض  بماء الينابيع,617950145035,48 X 170 GM,, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
170, WHITE MEAT TUNA IN OLIVE OIL ,لحم تونا أبيض بزيت الزيتون,617950143178,48 X 170 GM,7.85, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
171, WHITE MEAT TUNA IN EXTRA VIRGIN OLIVE OIL ,لحم تونا أبيض بزيت زيتون بكر,617950145059,48 X 170 GM,, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
172, WHITE MEAT TUNA IN WATER ,لحم تونا أبيض بالماء,617950143598,48 X 85 GM,3.96, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
173, WHITE MEAT TUNA IN SPRING WATER ,لحم تونا أبيض  بماء الينابيع,617950145097,48 X 85 GM,, THAILAND ,TUNA,WHITE TUNA ,UNITED ARAB EMIRATES
174, SKIPJACK TUNA IN SUNFLOWER OIL ,لحم تونا فاتح بزيت دوار الشمس,617950143734,48 X 170 GM,5.33, THAILAND ,TUNA,SKIPJACK TUNA ,UNITED ARAB EMIRATES
175, SKIPJACK TUNA IN CANOLA OIL ,لحم تونا فاتح بزيت الكانولا,617950145110,48 X 170 GM,, THAILAND ,TUNA,SKIPJACK TUNA ,UNITED ARAB EMIRATES
176, SKIPJACK TUNA IN SUNFLOWER OIL ,لحم تونا فاتح بزيت دوار الشمس,617950140955,48 X 85 GM,3.40, THAILAND ,TUNA,SKIPJACK TUNA ,UNITED ARAB EMIRATES
177, SKIPJACK TUNA IN CANOLA OIL ,لحم تونا فاتح بزيت الكانولا,617950145134,48 X 85 GM,, THAILAND ,TUNA,SKIPJACK TUNA ,UNITED ARAB EMIRATES
178, YELLOWFIN TUNA SANDWICH IN S/F OIL  ,لحم تونا يلوفين للسندويشات بزيت دوار الشمس,617950144656,48 X 170 GM,5.81, THAILAND ,TUNA,TUNA SANDWICH ,UNITED ARAB EMIRATES
179, YELLOWFIN TUNA SANDWICH IN WATER  ,لحم تونا يلوفين للسندويشات بالماء,617950144694,48 X 170 GM,5.81, THAILAND ,TUNA,TUNA SANDWICH ,UNITED ARAB EMIRATES
180, YELLOWFIN TUNA SANDWICH IN OLIVE OIL  ,لحم تونا يلوفين للسندويشات بزيت الزيتون,617950144731,48 X 170 GM,6.44, THAILAND ,TUNA,TUNA SANDWICH ,UNITED ARAB EMIRATES
181, TUNA SLICES IN SUNFLOWER OIL ,شرائح تونا بزيت دوار الشمس,617950142805,24 X 100 GM,6.75, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
182, TUNA SLICES IN CANOLA OIL ,شرائح تونا بزيت الكانولا,617950145233,24 X 100 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
183, TUNA SLICE IN SUNFLOWER OIL SMOKED  ,شرائح تونا مدخنة  بزيت دوار الشمس,617950142829,24 X 100 GM,6.75, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
184, TUNA SLICE IN CANOLA OIL SMOKED  ,شرائح تونا مدخنة  بزيت الكانولا,617950145257,24 X 100 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
185, TUNA SLICES REGULAR IN OLIVE OIL                 ,لحم تونا عادى بزيت الزيتون,617950142843,24 X 100 GM,7.29, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
186, TUNA SLICES REGULAR IN EXTRA VIRGIN OLIVE OIL                 ,شرائح تونا بزيت زيتون بكر,617950145318,24 X 100 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
187, TUNA SLICES WITH CHILI IN SUNFLOWER OIL ,شرائح تونا  بزيت دوار الشمس مع الفلفل الحار,617950143260,24 X 100 GM,6.75, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
188, TUNA SLICES WITH CHILI IN CANOLA OIL ,شرائح تونا  بزيت الكانولامع الفلفل الحار,617950145271,24 X 100 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
189, TUNA SLICES WITH PEPPER & LEMON IN SUNFLOWER OIL ,شرائح تونا  بزيت دوار الشمس مع الليمون و الفلفل الأسود,617950143222,24 X 100 GM,6.75, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
190, TUNA SLICES WITH PEPPER & LEMON IN CANOLA OIL ,شرائح تونا  بزيت الكانولا مع الليمون و الفلفل الأسود,617950145356,24 X 100 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
191, TUNA SLICES IN OLIVE OIL WITH CHLLI ,شرائح تونا  بزيت الزيتون مع الفلفل الحار,617950143772,24 X 100 GM,7.29, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
192, TUNA SLICES IN OLIVE OIL WITH GARLIC & PEPPER ,شرائح التونا  بزيت الزيتون مع الثوم والفلفل الأسود,617950143796,24 X 100 GM,7.29, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
193, TUNA SLICES WITH GARLIC & PEPPER IN SUNFLOWER OIL ,شرائح التونا  بزيت دوار الشمس مع الثوم والفلفل الأسود,617950143246,24 X 100 GM,6.75, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
194, TUNA SLICES WITH GARLIC & PEPPER IN CANOLA OIL ,شرائح التونا  بزيت الكانولا مع الثوم والفلفل الأسود,617950145332,24 X 100 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
195, TUNA SLICES IN WATER ,شرائح تونا بالماء,617950143529,24 X 100 GM,6.75, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
196, TUNA SLICES IN SPRING WATER ,شرائح تونا بماء الينابيع,617950145295,24 X 100 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
197, TUNA SLICES IN SUNFLOWER OIL 160 GM ,شرائح تونا  بزيت دوار الشمس 160 جم,617950143468,12 X 160 GM,9.50, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
198, TUNA SLICES WITH CHILI IN SUNFLOWER OIL 160 GM ,شرائح تونا  بزيت دوار الشمس مع الفلفل الحار 160 جم,617950143505,12 X 160 GM,9.50, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
199, TUNA SLICE IN SUNFLOWER OIL SMOKED 160 GM ,شرائح تونا مدخنة  بزيت دوار الشمس 160 جم,617950143482,12 X 160 GM,9.50, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
200, TUNA SLICE IN CANOLA OIL SMOKED 160 GM ,شرائح تونا مدخنة  بزيت الكانولا 160 جم,617950145431,12 X 160 GM,,,TUNA,SLICES,UNITED ARAB EMIRATES
201, TUNA SLICES IN CANOLA OIL 160 GM ,شرائح تونا   بزيت الكانولا 160 جم,617950145417,12 X 160 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
202, TUNA SLICES WITH CHILI IN CANOLA OIL 160 GM ,شرائح تونا  بزيت الكانولا مع الفلفل الحار 160جم,617950145455,12 X 160 GM,, THAILAND ,TUNA,SLICES,UNITED ARAB EMIRATES
203, YELLOWFIN TUNA FLAKES - ITALIAN SAUCE -160 GM ,لحم تونا يلوفين للسندويشات بالصلصة الإيطالية 160 جم,617950145691,12 X 160 GM,9.50, THAILAND ,TUNA,RECIPES,UNITED ARAB EMIRATES
204, YELLOWFIN TUNA FLAKES - MAYONNAISE -160 GM ,لحم تونا يلوفين للسندويشات بالمايونيز 160 جم,617950145714,12 X 160 GM,9.50, THAILAND ,TUNA,RECIPES,UNITED ARAB EMIRATES
205, YELLOWFIN TUNA FLAKES - TAHINI -160 GM ,لحم تونا يلوفين للسندويشات بالطحينة 160 جم,617950145677,12 X 160 GM,9.50, THAILAND ,TUNA,RECIPES,UNITED ARAB EMIRATES
206, TUNA SNACK SALAD WITH WHITE BEANS ,سلطة الفاصوليا البيضاء مع التونا,617950143321,24 X 185 GM,6.38, THAILAND ,TUNA,RECIPES,UNITED ARAB EMIRATES
207, TUNA SNACK SALAD WITH RED KIDNEY BEANS ,سلطة الفاصوليا الحمراء مع التونا,617950143307,24 X 185 GM,6.38, THAILAND ,TUNA,RECIPES,UNITED ARAB EMIRATES
208, TUNA SNACK SALAD WITH VEGETABLES ,سلطة الخضار مع التونا,617950143345,24 X 185 GM,6.38, THAILAND ,TUNA,RECIPES,UNITED ARAB EMIRATES
209, SARDINES IN  SUNFLOWER OIL WITH CHILLY  ,سردين بزيت دوار الشمس مع الفلفل الحار,617950145400,50 X 100 GM,3.24, INDONESIA ,SARDINES,SARDINES,UNITED ARAB EMIRATES
210, SARDINES IN  SUNFLOWER OIL  ,سردين بزيت دوار الشمس,617950145387,50 X 100 GM,3.24, INDONESIA ,SARDINES,SARDINES,UNITED ARAB EMIRATES
211, VINE LEAVES (TURKEY) ,ورق عنب تركى,617950159100,12 X 970 GM,12.43, TURKEY ,VINE LEAVES,TURKEY,UNITED ARAB EMIRATES
212, FANCY VINE LEAVES  ,ورق عنب فاخر,617950159087,12 X 908 GM,18.81, USA ,VINE LEAVES,FANCY ,UNITED ARAB EMIRATES
213, FANCY VINE LEAVES  BUCKETS ,ورق عنب فاخر باكيت,617950169123,1 X 50 LB,314.00, USA ,VINE LEAVES,FANCY ,UNITED ARAB EMIRATES
214, VINE LEAVES BANATI  ,ورق عنب بناتي,617950169222,12 X 800 GM,9.43, EGYPT ,VINE LEAVES,BANATI ,UNITED ARAB EMIRATES
215, HONEY MULTIFLORA ,عسل نحل صافي,617950244578,24 X 250 GM,13.67, SPAIN ,HONEY,MULTIFLORA,UNITED ARAB EMIRATES
216, HONEY MULTIFLORA ,عسل نحل صافي,617950244592,12 X 500 GM,23.67, SPAIN ,HONEY,MULTIFLORA,UNITED ARAB EMIRATES
217, HONEY MULTIFLORA SQUEEZE ,عسل نحل صافي,617950244615,18 X 350 GM,18.06, SPAIN ,HONEY,MULTIFLORA,UNITED ARAB EMIRATES
218, HONEY ACACIA ,عسل أكاسيا,617950244639,24 X 250 GM,22.29, SPAIN ,HONEY,ACACIA,UNITED ARAB EMIRATES
219, HONEY ACACIA ,عسل أكاسيا,617950244653,12 X 500 GM,39.58, SPAIN ,HONEY,ACACIA,UNITED ARAB EMIRATES
220, HONEY ACACIA SQUEEZE ,عسل أكاسيا,617950244677,18 X 350 GM,28.44, SPAIN ,HONEY,ACACIA,UNITED ARAB EMIRATES
221, HONEY ORANGE BLOSSOM ,عسل زهرة البرتقال,617950244691,12 X 500 GM,36.25, SPAIN ,HONEY,ORANGE BLOSSOM,UNITED ARAB EMIRATES
222, HONEY ORANGE BLOSSOM SQUEEZE ,عسل زهرة البرتقال,617950244714,18 X 350 GM,26.39, SPAIN ,HONEY,ORANGE BLOSSOM,UNITED ARAB EMIRATES
