ID,Name (EN) ,Name (AR) 
1,Shelf ,رف
2,Block ,قاطع
3,Gondola Head ,جندولة أمامية 
4,Gondola End ,جندولة خلفية
5,Gondola ,جندولة
6,Side Gondola ,جندولة جانبية 
7,Pallet ,طبلية 
8,Floor Display ,مساحة عرض أرضية 
9,Podium ,بوديوم
10,Element ,مساحة عرض اضافية 
11,Stand ,استاند
12,Side Stand ,استاند جانبي
13,Thematic Stand ,استاند خاص بحملة ترويج معينة
14,Promoter Stand ,استاند خاص بالعارضات 
15,Basket ,سلة 
16,Other ,
