ID,Name (EN),Name (AR)
1,Master Admin,مسؤول التطبيق الرئيسي
2,Country Admin,مسؤول التطبيق
3,Area Manager,مدير منطقة
4,Area in charge,مسؤول منطقة
5,Sales Man,مندوب مبيعات
6,Merchandiser,مروج
7,Cash van,مندوب المبيعات النقدية
8,Master uploader,مسؤول تحميل البيانات الرئيسي
9,Country uploader,مسؤول تحميل البيانات
