ID,Name (EN),Name (AR)
1,KEY ACCOUNT,كبار العملاء
2,HYPERMARKET,هايبر ماركيت
3,COOP,جمعيات
4,A - CLASS,المحلات التجارية الكبيرة فئة-أ
5,B - CLASS,المحلات التجارية المتوسطة
6,C - CLASS,المحلات التجارية الصغيرة
7,WHOLESALE,الجملة
8,GROCERIES,بقالات
9,CATERING/ HORECA,خدمات الفنادق والمطاعم
10,VAN,المبيعات المباشرة (الفان)
11,BAKERY,المخابز
