ID,Name (EN),Name (AR),Currency,Type,Parent
1,QATAR,,QAR,country,null
2,DOHA,الدوحة,,region,1
3,AL WAKRAH,الوكرة,,sub-region,2
4,UMM SALAL,أم صلال,,sub-region,2
5,DOHA,الدوحة,,sub-region,2
