ID,Name (EN),Name (AR),Address (EN),Address (AR),Sub-Region,Retail Segment,Outlet
35,GEANT ENMA MAAL,انماء مول,"Building-493, Ummnassan avenue, Road-2513, Block-925, East Riffa",شرق الرفاع ام السوسنة افينية,RIFFA,KEY ACCOUNT,GEANT GROUP
36,GEANT SEEF MAAL,السيف مول,"Flat -1055, Block- 240, Road-29, Building-154, Arad",اراد شارع 240,ARAD,KEY ACCOUNT,GEANT GROUP
37,GEANT WADI AL SAIL,,"Building No- 1509, Road no-2835, Riffa Bahrain",,RIFFA ,A - CLASS,GEANT GROUP
38,GEANT RIFFA VILLAGE,,"Buidling No-2175, Road- 989, Block No-909, Riffa Village",,RIFFA VILLAGE,A - CLASS,GEANT GROUP
39,GULF MART ISA TOWN,غلف مارت مدينة عيسى,"Flat-0, Building-1053, Road-1403, Block-814, Isa Town",مدينة عيسى شارع 1403,ISA TOWN,A - CLASS,GEANT GROUP
40,GULF MART MANAMA,غلف مارت المنامة,"Flat-0, Building-5, Road-318, Block -321, Manama/Alqudaybiyah",المنامة القضيبية,AL MANAMA,A - CLASS,GEANT GROUP
41,GULF MART MANAMA CENTRE,غلف مارت مركز المنامة,"Flat-0, Building-152, Road-363, Block-307, Manama Centre",مركز المنامة,AL MANAMA,A - CLASS,GEANT GROUP
42,GULF MART MUHARRAQ,غلف مارت مركز المحرق,"Flat-0, Buiding-481, Road-3, Block-216, Muharraq Town",مدينة المحرق,AL MUHARAQ,A - CLASS,GEANT GROUP
43,G S F MARKET AL HAMALA,جي اس اف الهمالا,"Flat-1, Buiding-2043, Road-90, Block-1014, Al Hamala",الهمالا شارع 90,HAMLA,A - CLASS,GHADA MARKET
44,G S F MARKET MANAMA,جي اس اف المنامة,"Building-216, Road-333, Block-321, Manama/ Al Qudaibiya",القضيبية شارع 333,AL MANAMA,B - CLASS,GSF MARKET
45,HASAN MOHMOOD,حسن محمود,"Bldg 110,Road11,Tubli 707",طبولي شارع 11,TUBLI,B - CLASS,HASAN MAHMOOD
46,HI MART,هاي مارت,"Shop- 251, Road-15, Block-517, Saar",سار شارع 15,SAAR,B - CLASS,HIMART
47,HIDD COOPERATIVE SOCIETY,جمعية الحد,"Shop No-1, Building no-6, Ibn Al Mugarb Avenue, Block -106, Hidd",الحد ابن المغرب افينيو,HIDD,B - CLASS,HIDD COOPERATIVE SOCIETY
48,JAWAD S/M BARBAR,سوبرماركت جواد بربر,"Bldg 29,Road 18,Block 518,Barbar",بربر شارع 518,SANAD,A - CLASS,JAWAD GROUP
49,JAWAD S/M NUWAIDRAT,سوبرماركت جواد نويدرات,"Bldg 2557,Al Estiqlal Hwy Nuwaidrat",نويدرات,NUWAIDRAT,A - CLASS,JAWAD GROUP
50,LEBANON TRADE CENTER,مركز لينان للتجارة,"Flat-89, Road-1239, Building- 5277, Block-812, Isa Town",مدينة عيسى شارع 1239,ISA TOWN,A - CLASS,LEBANON TRADING 
51,LULU DANA MAAL,لولو دانا مول,"Flat-273, Buiding-702, Block-5115, Block-351, Manama/ Suwayfiyah",دانا مول,AL MANAMA,KEY ACCOUNT,LULU GROUP
52,LULU HYPERMARKET HIDD,لولو الحد,"Flat-0, Buiding-166, Road-3, Block-109, Hidd",الحد,HIDD,KEY ACCOUNT,LULU GROUP
53,LULU HYPERMARKET MANAMA,لولو المنامة,"Flat-201, Buiding-1013, Road-2417, Block-324, Manama/ Alfateh",المنامة شارع 1013,AL MANAMA,KEY ACCOUNT,LULU GROUP
54,LULU HYPERMARKET MANAMA/ BUGHAZAL,لولو بوغزال,"Flat-61, Building-130, Road-20, Block-331, Manama/ Bughazal",لولو بوغزال,AL MANAMA,KEY ACCOUNT,LULU GROUP
55,LULU HYPERMARKET RIFA,لولو الرفاعة,"Flat-0, Building-302, Road-2513, Block-925, Riffa/ Bu Kowarah",لولو الرفاعة,RIFFA,KEY ACCOUNT,LULU GROUP
56,LULU RAMALI MAAL,لولو الرملي مول,"Flat-51, Buiding-1723, Road-4041, Block-740, Aali",بناء 1723 شارع 4041 عالي,AALI,KEY ACCOUNT,LULU GROUP
57,MACROMART MAQABAH,ماكرو مارت مقباح,"Building -3381, Road-751, Block-507, Maqabah",المقباح شارع 751,MAQABAH,A - CLASS,MACROMART
58,MACROMART RIFFA,ماكرو مارت الرفاعة,"Buidling-1564, Road-1037, Block-910, Riffa / Algharbi",الرفاع الغربي,RIFFA,A - CLASS,MACROMART
59,MEGAMART HAMAD TOWN,ميغا مارت مدينة حمد,"Building-441, Road-307, Block-1203, Hamad Town",حمد تاون,HAMAD TOWN,A - CLASS,MEGA MART
60,MEGAMART JUFFAIR,ميغا مارت الجقير,"Building-440, Road-41, Block-341, Juffair",الجفير,JUFFAIR,A - CLASS,MEGA MART
61,MEGAMART MANAMA CENTRE,ميغا مارت مركز المنامة,"Flat-32, Building-20, Road-336, Block-314, Manama",المنامة شارع 336,AL MANAMA,A - CLASS,MEGA MART
62,MEGAMART SALMANIA,ميغا مارت السلمانية,"Building-123, Road-331, Block-311, Salmania",السلمانية شارع 331,SALMANIA,A - CLASS,MEGA MART
63,MEGAMART SAMAHEEJ,ميغا مارت سماهيج,"Flat-1, Building-85, Road-15, Block-236, Samaheej",السماهيج شارع 15,SAMAHIJ,A - CLASS,MEGA MART
64,MEGAMARTMANAMA / AL SUQAYYAH,ميغا مارت السقاية,"Flat-9, Buidling-514, Road-2810, Block-328, Manama / Al Suqayyah",المنامة السقيا,AL MANAMA,A - CLASS,MEGA MART
65,MEGAMART EXPRESS,ميغا مارت اكسبرس,"Building-1783, Road-5133, Block-351, Manama/ Al Suwayfiyah",المنامة االصويفية,AL MANAMA,A - CLASS,MEGA MART
66,MEGAMART MUHARRAQ,ميغا مارت المحرق,"Building-1202, Road-1535, Block-215, Muharraq",المحرق شارع 1535,AL MUHARAQ,A - CLASS,MEGA MART
67,MEGAMART AMWAJ,,"Building-2678, Road- 5720, Block-257, Amwaj",,AMWAJ,A - CLASS,MEGA MART
68,MIDWAY S/M ARAD,ميدواي أراد,"Bldg 44, Al Mqawlon Al Arab,Arad 243",اراد - المقاولون العرب,ARAD,B - CLASS,MIDWAY S/M
69,MIDWAY S/M HAMALA,ميدواي هامالا,"Road 1453,Wali Al Ahd Hiway,Hamala",الهامالا,HAMLA,B - CLASS,MIDWAY S/M
70,MIDWAY S/M MANAMA,ميدواي المنامة,"Abu Obaidah Ave,Kanoo Building,Manama,304",المنامة بناء كانو,AL MANAMA,B - CLASS,MIDWAY S/M
71,MIDWAY S/M SAAR,ميدواي سار,363 Saar Avenue Saar,افينيو سار,SAAR,B - CLASS,MIDWAY S/M
72,MIDWAY S/M ZALLAQ,ميدواي زالاق,"Road55,Building 17,Block 1056,Zallaq 643",الزلاق 643,ZALLAQ,B - CLASS,MIDWAY S/M
73,MIDWAY S/M MUHARRAQ,ميدواي المحرق,"Bldg 407,Road 56 Muharraq 643",المحرق شارع 56,AL MUHARAQ,B - CLASS,MIDWAY S/M
74,MIDWAY S/M WEST RIFFA,ميدواي غرب الرفاعة,"Bldg 2427,Road 1274,west Riffa 912",غرب الرفاع سارع 1274,WEST RIFFA,B - CLASS,MIDWAY S/M
75,MASTER POINT,ناستر بوينت,"Bldg 17,Road 51,Muharraq 204",المحرق شارع 51,AL MUHARAQ,B - CLASS,MASTERPOINT
76,MUNTAZAH ARAD,المنتزه أراد,"Building:245,Road:4010,Block:240,Area:Arad",اراد شارع 245,ARAD,A - CLASS,MUNTAZAH
77,MUNTAZAH GALALI,المنتزه جالالي,"Building:3,Road:14,Block:252,Area:Galali",جلالي شارع 14,GALALI,A - CLASS,MUNTAZAH
78,MUNTAZAH HAMAD TOWN,المنتزه مدينة حمد,"Building:3853,Road:1059,Block:1210,Area:Hamad Town",مدينة حمد,HAMAD TOWN,A - CLASS,MUNTAZAH
79,MUNTAZAH HOORA,المنتزه الحورة,"Building:441,Road:1913,Block:319,Area:Hoora",الحورة,AL MANAMA,A - CLASS,MUNTAZAH
80,MUNTAZAH ISA TOWN,المنتزه مدينة عيسى,"Building:3364,Road:1012,Block:810,Area:Isa Town",مدينة عيسى,ISA TOWN,A - CLASS,MUNTAZAH
81,MUNTAZAH MUHARRAQ,المنتزه المحرق,"Building:1129,Road:10,Block:215,Area:Muharraq",المحرق,AL MUHARAQ,A - CLASS,MUNTAZAH
82,MUNTAZAH MUHARRAQ/ KAZINO,المنتزه المحرق/ كازينو,"Building:53,Road:55,Block:204,Area:Muharraq/ Kazino",المحرق شارع 55,AL MUHARAQ,A - CLASS,MUNTAZAH
83,MUNTAZAH RIFFA,المنتزه الرفاعة,"Building:6,Road:1401,Block:914,Area:Riffa",الرفاع شارع 1401,RIFFA,A - CLASS,MUNTAZAH
84,MUNTAZAH SITRA,المنتزه السترة,"Building:1196,Road:31,Block:643,Area:Sitra",سترة شارع 31,SITRA,A - CLASS,MUNTAZAH
85,NESTO MARKET AL QUDABIAH,نستو القضابية,"Bldg 6,Shop 101,Road 333,Block 321, Al Qudabiah",القضيبية,QUDABIAH,B - CLASS,NESTO GROUP
86,NESTO MARKET HOORA,نستو الحورة,"Bldg 3436,Road1839,Block 318, Hoora",الحورة,AL MANAMA,B - CLASS,NESTO GROUP
87,NESTO MARKET SALMABAD,نستو سالم اباد,"Bldg 52,Road 88,Block 702,Salmabad",سلم اباد,SALMABAD,B - CLASS,NESTO GROUP
88,NESTO MARKET SALMANIA,نستو السلمانية,"Flat 19,Bldg 1493,Road5228,Block -952, Salmania",سلمانية شارع 5228,SALMANIA,B - CLASS,NESTO GROUP
89,NESTO MARKET RIFFA,نستو الرفاعة,"Bldg 345,Road 83,Block 907, Riffa Shargi",الرفاع الشرقي,RIFFA,B - CLASS,NESTO GROUP
90,PUBLIC SECUITY MANAMA,الأمن العام المنامة,"Post Box No-13, Ministry of Interior, Manama",المنامة وزارة الداخلية,AL MANAMA,B - CLASS,PUBLIC SECUITY
91,PUBLIC SECUITY SAFRA,الأمن العام السفرة,"Post Box-12,PSS ,Safra",السفرة,SAFRA,B - CLASS,PUBLIC SECUITY
92,RAMEZ - ISA TOWN,رامز مدينة عيسى,"Building- 5245, Road-1239, Block-812, Isa Town",مدينة عيسى,ISA TOWN,A - CLASS,RAMEZ GROUP
93,RAMEZ - MANAMA,ارامز لمنامة,"Building-148, Road-1405, Block-344, Manama",المنامة شارع 1405,AL MANAMA,A - CLASS,RAMEZ GROUP
94,RAMEZ - RIFFA,رامز الرفاعة,"Flat-11, Buiding-40, Road-95, Block-939, Riffa",الرفاع شارع 40,RIFFA,KEY ACCOUNT,RAMEZ GROUP
95,RAMEZ -MUHARRAQ,رامز المحرق,"Building-353, Road-707, Block-207, Muharraq",المحرق,AL MUHARAQ,A - CLASS,RAMEZ GROUP
96,RUYAN DEPARTMENT STORE BUDAYA,رويان بديع,"Bldg 1307,Block450,Road5043, Al Maksh,Budaya",البديع شارع 5043,AL BUDDIYA,B - CLASS,RUYAN DEPARTMENT STORE
97,RUYAN DEPARTMENT STORE BUDIYA,رويان بديع2,"Shop no 2,Bldg2043,Block 537,Road85 Budiya",البديع شارع 85,AL BUDDIYA,B - CLASS,RUYAN DEPARTMENT STORE
98,RUYAN DEPARTMENT STORE SALMABAD,رويان سالم اباد,"Bldg 134,Road 407, Salmabad 704",سلماباد,SALMABAD,B - CLASS,RUYAN DEPARTMENT STORE
99,RUYAN DEPARTMENT STORE SANAD,رويان سند,"Bldg 2058,Road4563,Sanad 745",سند شارع 4563,SANAD,B - CLASS,RUYAN DEPARTMENT STORE
100,RUYAN DEPARTMENT STORE MUHARRAQ,رويان المحرق,"Bldg 235,Sheikh Khalifa Bin Mohd Avenue, Muharraq 203",المحرق افينيو الشيخ خليفة بن محمد,AL MUHARAQ,B - CLASS,RUYAN DEPARTMENT STORE
101,SOLA SHOPPER CENTRE,مركز سولا,"Building-151, Road-318, Block-321, Al Manama/ Al Qudaibiya",القضيبية  شارع 318,AL MANAMA,B - CLASS,STERLING CATGERING SERVICES
102,SULTAN CENTER REEF MAAL,مركز سلطان الريف مول,"Flat-22, Buidling-3437, Road-3876, Block-1038, Sadad",صدد شارع 3437,SADAD,A - CLASS,SULTAN CENTER
103,SULTAN CENTER ZAYED TOWN,مركز سلطان مدينة زايد,"Flat-42, Building-121, Road-20, Block-720, Zayed Town",مدينة زايد,ZAYED TOWN,A - CLASS,SULTAN CENTER
